odio;Son gentuza.
odio;Unos y otros admitiendo a toda la gentuza mundial.
odio;Esta gentuza es odiosa.
odio;Nos hace falta Keiko para votar a toda esta gentuza comunista y los metan presos de por vida
odio;No,no y NO!.Si hubo un fusilado fu yo... Que gentuza tan ignorante.
odio;Es normal en esta gentuza
odio;Menudo negocio tienen montado est gentuza
odio;Pues no voy a bajar la calefaccin como la seora Botin,...no tengo y eso es un poco gracias a la gentuza como ella
odio;Los dueos, GENTUZA dnde la haya, aprovecha para hacer lo que les da la gana.
odio;Llenar el depsito me ha costado hoy ms que hace semanas. En cambio, cagarme en toda esta puta gentuza me cuesta medio segundo.
odio;NO me junto con gentuza...
odio;sta gentuza son los que de verdad le faltan el respeto a las vctimas de ETA, ni si quiera les dejan descansar
odio;Que basura de gentuza
odio;Ante esta gentuza se ha renunciado a hacer una verdadera reforma laboral tan (falsamente) prometida.
odio;Uffff menuda gentuza eres, que poca educacin, no molestes y ve a hablar con quien quiera aguantarte, rabiosssssaaaaaa
odio;Bravo!!! Menuda gentuza. Ojal ninguno pueda quedarse en el pas.
odio;Yo creo que han pasado de ser basura o gentuza a ser unos H de P
odio;Se tendria que olvidar de la fecha de cumpleaos de su hermana, de la gentuza de amigos que le rodean, etc etc
odio;Esto ya es repugnante que gentuza y que ms grande son los de VOX.
odio;Pues no digas la edad pobrecita ma q algn rojo sectario de estos te dice q ya es hora de morirse, menuda gentuza son.
odio;Gentuza como tu
odio;Alucinante, es vomitivo toda esta gentuza
odio;Gracias a ti y a la gentuza de PODEMOS nos arruinamos como pas, y t sacndote fotos como una gilipollas. Asco y vergenza
odio;Ser retrasado es una enfermedad ser un puto facha fascista nazi franquista de mierda es delito
odio;sos el segundo puto... No lo lograste, Gael es ms puto que vos
odio;El mas puto arriba
odio;Y un puto facha
odio;Ah!, t no has notado como que respiras mejor?. Puto facha
odio;Un puto facha, exactamente!
odio;Siempre facha nunca puto
odio;Q pesadez de tio, eres un facha acosador.. dejeme en paz ya puto facha
odio;asi me gusta bau, puto facha pero conciencia obrera
odio;Huy un puto facha k'asco... bloqueado!!!
odio;Y saludan a Otegui, que es un puto facha con chapela.
odio;Eres un puto facha,aborregado.
odio;Un Puto facha, hablando de fachas.... que bien Espaa !
odio;Que tu seas un puto facha no es culpa de los dems.
odio;Callate t, puto niato facha. El que te cagas eres t, que ladras detrs de un teclado, como un puto Cobarde !!!
odio;Joder cuanto puto facha lloron hablando del Condenas
odio;Lo mejor de la imagen es que nadie le est haciendo puto caso y l se cree que est molestando a alguien
odio;Ta, pero es que es un puto pipiolo, y y tan facha...
odio;empiezas a apestar bastante. Puto facha de Mierda.
odio;"Lo que viene siendo "" un puto facha"""
odio;Calla hdp facha mierda vete con el hp de abascal a el puto cementerio
odio;Qu sorpresa, un facha hablando de censurar.
odio;Sera friki el puto facha q por comerle los huevos al profe va a joder a toda la clase
odio;Al lado de un coche de los perros para que no le digan nada y nadie le hace ni puto caso esque es buensimo
odio;Es lo mejor que hay que hacer... Ni puto caso
odio;No todo iba a ser malo. Gracias a la pandemia, la guerra, el volcn, los indultos, etc... Hemos tenido ms lgrimas de facha que nunca!
odio;Con el coche de la polica al lado y las manifestantes hacindole NI PUTO CASO
odio;Q te laves la boca antes de hablar de mi hermana puto facha de mierda q tienes sarro en los dientes y esmegma en la polla tira ya
odio;Carvajal, con ser un puto facha de mierda no tienes bastante?
odio;ATRVETE, OTAKU, BATE PUTO FACHA
odio;La correlacin entre ir al Bernabu y ser un puto facha de los cojones es del % los mataba a todos
odio;Hermano, la gente es gilipollas literalmente, ven la bandera de Espaa y ya dicen puto facha. Sois tontos
odio;Negre ,no eres ms TONTO porqu no eres ms GRANDEY adems un PUTO ..... FACHA
odio;La culpa es de Franco, Aznar, Rajoy, Ayuso y Putn.Y si no ests de acuerdo, eres un puto facha.
odio;le quiero arrancar la cabeza, no lo aguanto.Puto facha de los cojones
odio;La clase obrera no es lo que diga un puto facha que tira ms fakes que frases dice .
odio;Vale, vete a tomar por culo, puto facha,. Lo quieres en castellano?
odio;Vale, nio con una puto foto de perfil de un puto anime
odio;como vea a un puto facha mas subiendo historias misginas y machistas hoy, os juro q le quemo la casa
odio;ns pq pero me parece q los de clase son el tipo de persona q subirian esto, por cierto, puto facha tio q asco das
odio;Ustedes hijos de puta cuidenlas= macho=malo=machofobico
odio;Y tu vieja una puta que engendra pelotudos!
odio;Que facha que tenes la puta madre
odio;Banderita de ucrania. Caguen dios que asco. Ignorantes de mierda que asco eterno les tengo a todos ijoss de puta
odio;La guatona naveillan puta la vieja fea y por si eso fuese poco, es facha.... es mucho
odio;Sacate el aj del culo...facha hija de puta...Simi acibirin los privilegios....lloren asesinos de mierda
odio;An as Ari... Quien piense eso no es de ser o no un facha, sino es de ser un hijo de puta .
odio;Y t eres un hijo de puta que insulta sin que le insulten.
odio;Ese es el nivelito del facha patrio. Hijo de puta que antes o despus te lo demuestra
odio;Otr indigente mental que da una opinin sin tener ni puta idea
odio;No lo sabrs t porque no te ha dado la puta gana de enterarte. No es ignorancia. Es cabezonera de facha.
odio;la puta realidad
odio;Puta ya no se escribir lebdiwbwk pero te guste cuando tu eras facha*
odio;Cllate oportunista de mierda ,facha estpida puta que me ca mal wueona oh
odio;No tienes ni puta idea de analizar datos.
odio;podr haber estado con muchos hijos de puta pero nunca nadie podr decirme que he estado con un facha gracias y adis
odio;El facha abascal ha vivido toda su puta vida de las subvenciones y las paguitas.
odio;que facha tenia en esa foto la puta madre
odio;No s pero vaya puta facha se carga
odio;mal se re rieron en mi puta cara
odio;Autntico hijo de la gran puta.
odio;se lo parto yo a la puta facha
